#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 19:00:13.200
#Sample rate: 33189.5Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.02952740000000001,0.01664125114750144
-0.02949727000000001,0.04363150987262644
-0.02946714,0.06895570324434869
-0.02943701,0.09161419205062646
-0.02940688,0.1109405501500987
-0.02937675000000001,0.1259351383307237
-0.02934662,0.1365979565925015
-0.02931649,0.1422625787940709
-0.02928636,0.1422625787940709
-0.02925623000000001,0.136931169663182
-0.0292261,0.1259351383307237
-0.02919597,0.109940910938057
-0.02916584,0.08928170055586257
-0.02913571000000001,0.06529035946686257
-0.02910558000000001,0.03863331381241811
-0.02907545,0.01064341587525144
-0.02904532,-0.01834612127395691
-0.02901519,-0.04700244535248469
-0.02898506000000001,-0.07432591714829026
-0.02895493,-0.09931689744933192
-0.0289248,-0.1216421731849291
-0.02889467,-0.1403021051430403
-0.02886454000000001,-0.1539638410409431
-0.02883441,-0.1629605939493181
-0.02880428,-0.1669591507974847
-0.02877415,-0.1659595115854431
-0.02874402000000001,-0.1596284632425125
-0.02871389000000001,-0.1486324319100542
-0.02868376,-0.132971417588068
-0.02865363,-0.1133118464179153
-0.0286235,-0.09065335761163748
-0.02859337000000001,-0.06532916423991525
-0.02856324,-0.03833890551479024
-0.02853311,-0.01134864678966524
-0.02850298,0.01597482500614033
-0.02847285000000001,0.04163223144854311
-0.02844272,0.06462393332550145
-0.02841259,0.08461671756633479
-0.02838246,0.100944158029682
-0.02835233000000001,0.1126066155035015
-0.02832220000000001,0.1192708769171126
-0.02829207,0.1209369422705154
-0.02826194,0.1172715984930292
-0.02823181,0.1089412717260154
-0.02820168000000001,0.09527953582811258
-0.02817155,0.07761924308204313
-0.02814142,0.05662681962916812
-0.02811129,0.03230226546948755
-0.02808116000000001,0.005978432885723656
-0.02805103,-0.02101182583940135
-0.0280209,-0.04833529763520691
-0.02799077,-0.07499234328965138
-0.02796064000000001,-0.09965011052001249
-0.02793051000000001,-0.1216421731849291
-0.02790038,-0.1406353182137208
-0.02787025,-0.1552966933236653
-0.02784012000000001,-0.1656262985147625
-0.02780999000000001,-0.1706244945749708
-0.02777986,-0.1702912815042903
-0.02774973,-0.1652930854440819
-0.0277196,-0.1549634802529847
-0.02768947000000001,-0.1403021051430403
-0.02765934,-0.1216421731849291
-0.02762921,-0.09931689744933192
-0.02759908,-0.0746591302189708
-0.02756895000000001,-0.04800208456452636
-0.02753882000000001,-0.0206786127687208
-0.02750869,0.006311645956404212
-0.02747856,0.031969052398807
-0.02744843000000001,0.05562718041712645
-0.02741830000000001,0.07595317772864035
-0.02738817,0.09294704433334869
-0.02735804,0.1046095018071681
-0.02732791,0.1122734024328209
-0.02729778000000001,0.1142726808569043
-0.02726765,0.1109405501500987
-0.02723752,0.1022770103124042
-0.02720739,0.08928170055586257
-0.02717726000000001,0.07162140780979312
-0.02714713000000001,0.05029577128623756
-0.027117,0.02563800405587644
-0.02708687,-0.0006858285278874567
-0.02705674000000001,-0.02834251339437358
-0.02702661000000001,-0.05633241133154025
-0.02699648,-0.08332267005666527
-0.02696635,-0.108980076499068
-0.02693622,-0.1319717783760264
-0.02690609000000001,-0.1522977756875403
-0.02687596,-0.1679587900095264
-0.02684583,-0.1779551821299431
-0.0268157,-0.1839530174021931
-0.02678557000000001,-0.1846194435435542
-0.02675544000000001,-0.1799544605540264
-0.02672531,-0.1696248553629292
-0.02669518,-0.1539638410409431
-0.02666505000000001,-0.1339710568001097
-0.02663492000000001,-0.1103129287817903
-0.02660479,-0.08432230926870693
-0.02657466,-0.05633241133154025
-0.02654453,-0.02734287418233191
-0.02651440000000001,0.0009802368255153215
-0.02648427,0.028970134762682
-0.02645414,0.05462754120508478
-0.02642401,0.07695281694068201
-0.02639388000000001,0.09561274889879312
-0.02636375000000001,0.1102741240087376
-0.02633362,0.1192708769171126
-0.02630349,0.1232694337652792
-0.02627336000000001,0.1222697945532376
-0.02624323000000001,0.115938746210307
-0.0262131,0.1049427148778487
-0.02618297,0.08894848748518203
-0.02615284,0.06928891631502923
-0.02612271000000001,0.04596400136739034
-0.02609258,0.02063980799566811
-0.02606245,-0.006350450729456903
-0.02603232,-0.03400713559594302
-0.02600219000000001,-0.06066418125038747
-0.02597206000000001,-0.08632158769279025
-0.02594193,-0.1093132895697486
-0.0259118,-0.129306073810582
-0.02588167000000001,-0.1453003012032486
-0.02585154000000001,-0.1566295456063875
-0.02582141,-0.1632938070199986
-0.02579128,-0.1649598723734014
-0.02576115,-0.1612945285959153
-0.02573102000000001,-0.1522977756875403
-0.02570089,-0.1383028267189569
-0.02567076,-0.1203093209022069
-0.02564063,-0.09898368437865138
-0.02561050000000001,-0.0746591302189708
-0.02558037000000001,-0.04800208456452636
-0.02555024,-0.02101182583940135
-0.02552011,0.006978072097765324
-0.02548998000000001,0.03396833082289033
-0.02545985000000001,0.058959311123932
-0.02542972,0.08128458685952925
-0.02539959,0.09961130574695978
-0.02536946,0.1139394677862237
-0.02533933000000001,0.1236026468359598
-0.0253092,0.1289340559668487
-0.02527907,0.1306001213202515
-0.02524894,0.1276012036841265
-0.02521881000000001,0.1192708769171126
-0.02518868,0.1056091410192098
-0.02515855,0.0876156352024598
-0.02512842,0.06595678560822368
-0.02509829000000001,0.04196544451922367
-0.02506816000000001,0.01564161193545977
-0.02503803,-0.01101543371898468
-0.0250079,-0.03800569244410969
-0.02497777,-0.06332988581583193
-0.02494764000000001,-0.08698801383415136
-0.02491751,-0.1069807980749847
-0.02488738,-0.1236414516090125
-0.02485725,-0.1356371221535125
-0.02482712000000001,-0.1429678097084847
-0.02479699,-0.1453003012032486
